exon	hg19_start	hg19_end	hg38_start	hg38_end	Meta_start	Meta_end	PSI	band	domains	length	symmetry_phase	Meta	N2BA	N2B	N2A	Nvx1	Nvx2	Nvx3
22	179644932	179644727	178780205	178780000	3524	3729	100	near_Z_disk		206	A_0	22	22	21	22	21	21	22
23	179644189	179643956	178779462	178779229	3730	3963	100	near_Z_disk	Ig_like	234	S_0	23	23	22	23	22	22	23
24	179643845	179643601	178779118	178778874	3964	4208	100	near_Z_disk	Ig_like	245	A_2	24	24	23	24	23	23	24
25	179642702	179642431	178777975	178777704	4209	4480	100	near_Z_disk	Ig_like	272	A_1	25	25	24	25	24	24	25
26	179642311	179642147	178777584	178777420	4481	4645	100	near_Z_disk	Ig_like	165	S_1	26	26	25	26	25	25	26
27	179642044	179641876	178777317	178777149	4646	4814	100	near_Z_disk	Ig_like	169	A_2	27	27	26	27	26	26	27
28	179641776	179640083	178777049	178775356	4815	6508	100	near_Z_disk_I_band	Ig_like	1694	A_1	28	28	27	28	27	27	28
29	179639929	179639648	178775202	178774921	6509	6790	100	I_band	Ig_like	282	S_1	29	29	28	29	28	28	29
30	179639200	179638934	178774473	178774207	6791	7057	100	I_band	Ig_like	267	S_1	30	30	29	30	29	29	30
31	179638837	179638565	178774110	178773838	7058	7330	100	I_band	Ig_like	273	S_1	31	31	30	31	30	30	31
32	179638452	179638189	178773725	178773462	7331	7594	100	I_band	Ig_like	264	S_1	32	32	31	32	31	31	32
33	179638096	179637836	178773369	178773109	7595	7855	100	I_band		261	S_1	33	33	32	33	32	32	33
34	179636198	179635938	178771471	178771211	7856	8116	100	I_band	Ig_like	261	S_1	34	34	33	34	33	33	34
35	179635402	179635139	178770675	178770412	8117	8380	100	I_band		264	S_1	35	35	34	35	34	34	35
36	179635047	179634787	178770320	178770060	8381	8641	100	I_band		261	S_1	36	36	35	36	35	35	36
37	179634666	179634406	178769939	178769679	8642	8902	100	I_band	Ig_like	261	S_1	37	37	36	37	36	36	37
38	179633660	179633400	178768933	178768673	8903	9163	100	I_band	Ig_like	261	S_1	38	38	37	38	37	37	38
39	179632882	179632741	178768155	178768014	9164	9305	100	I_band	Ig_like	142	A_2	39	39	38	39	38	38	39
40	179632651	179632486	178767924	178767759	9306	9471	100	I_band	Ig_like	166	A_0	40	40	39	40	39	39	40
41	179631339	179631108	178766612	178766381	9472	9703	100	I_band		232	A_1	41	41	40	41	40	40	41
42	179629538	179629254	178764811	178764527	9704	9988	100	I_band	Ig_like	285	S_1	42	42	41	42	41	41	42
43	179629029	179628904	178764302	178764177	9989	10114	100	I_band	Ig_like	126	S_1	43	43	42	43	42	42	43
44	179623899	179623711	178759172	178758984	10115	10303	100	I_band	Ig_like	189	S_1	44	44	43	44	43	43	44
45	179622643	179622269	178757916	178757542	10304	10678	1			375	S_1	45	NA	NA	NA	44	NA	NA
46	179621524	179620949	178756797	178756222	10679	11254	4			576	S_1	46	NA	NA	NA	NA	44	NA
47	179617907	179617851	178753180	178753124	11255	11311	100	I_band		57	S_1	47	45	44	45	45	45	45
48	179616766	179610047	178752039	178745320	NA	NA	n/a			6455	A__	NA	NA	NA	NA	NA	NA	46
49	179606648	179603868	178741921	178739141	11312	14092	100	I_band	Ig_like	2781	S_1	48	46	45	NA	46	46	NA
50	179603087	179602809	178738360	178738082	14093	14371	100	I_band	Ig_like	279	S_1	49	47	46	46	47	47	NA
51	179600801	179600238	178736074	178735511	14372	14935	33	I_band	Ig_like	564	S_1	50	48	NA	47	NA	NA	NA
52	179599715	179599434	178734988	178734707	14936	15217	15	I_band	Ig_like	282	S_1	51	49	NA	48	NA	NA	NA
53	179599333	179599055	178734606	178734328	15218	15496	10	I_band	Ig_like	279	S_1	52	50	NA	49	NA	NA	NA
54	179598619	179598341	178733892	178733614	15497	15775	7	I_band	Ig_like	279	S_1	53	51	NA	50	NA	NA	NA
55	179598244	179597966	178733517	178733239	15776	16054	6	I_band	Ig_like	279	S_1	54	52	NA	51	NA	NA	NA
56	179597848	179597561	178733121	178732834	16055	16342	6	I_band	Ig_like	288	S_1	55	53	NA	52	NA	NA	NA
57	179597445	179597167	178732718	178732440	16343	16621	7	I_band	Ig_like	279	S_1	56	54	NA	53	NA	NA	NA
58	179597074	179596793	178732347	178732066	16622	16903	7	I_band	Ig_like	282	S_1	57	55	NA	54	NA	NA	NA
59	179596698	179596420	178731971	178731693	16904	17182	8	I_band	Ig_like	279	S_1	58	56	NA	55	NA	NA	NA
60	179596310	179596032	178731583	178731305	17183	17461	20	I_band	Ig_like	279	S_1	59	57	NA	56	NA	NA	NA
61	179595930	179595652	178731203	178730925	17462	17740	35	I_band	Ig_like	279	S_1	60	58	NA	57	NA	NA	NA
62	179595519	179595232	178730792	178730505	17741	18028	32	I_band	Ig_like	288	S_1	61	59	NA	58	NA	NA	NA
63	179595098	179594820	178730371	178730093	18029	18307	6	I_band	Ig_like	279	S_1	62	60	NA	59	NA	NA	NA
64	179594672	179594391	178729945	178729664	18308	18589	7	I_band	Ig_like	282	S_1	63	61	NA	60	NA	NA	NA
65	179594293	179594015	178729566	178729288	18590	18868	8	I_band	Ig_like	279	S_1	64	62	NA	61	NA	NA	NA
66	179593896	179593618	178729169	178728891	18869	19147	4	I_band	Ig_like	279	S_1	65	63	NA	62	NA	NA	NA
67	179593505	179593227	178728778	178728500	19148	19426	7	I_band	Ig_like	279	S_1	66	64	NA	63	NA	NA	NA
68	179593124	179592837	178728397	178728110	19427	19714	6	I_band	Ig_like	288	S_1	67	65	NA	64	NA	NA	NA
69	179592590	179592312	178727863	178727585	19715	19993	6	I_band	Ig_like	279	S_1	68	66	NA	65	NA	NA	NA
70	179592098	179591817	178727371	178727090	19994	20275	52	I_band	Ig_like	282	S_1	69	67	NA	66	NA	NA	NA
71	179590773	179590495	178726046	178725768	20276	20554	46	I_band	Ig_like	279	S_1	70	68	NA	67	NA	NA	NA
72	179590376	179590095	178725649	178725368	20555	20836	46	I_band	Ig_like	282	S_1	71	69	NA	68	NA	NA	NA
73	179589265	179588987	178724538	178724260	20837	21115	26	I_band	Ig_like	279	S_1	72	70	NA	69	NA	NA	NA
74	179588870	179588583	178724143	178723856	21116	21403	25	I_band	Ig_like	288	S_1	73	71	NA	70	NA	NA	NA
75	179588423	179588145	178723696	178723418	21404	21682	34	I_band	Ig_like	279	S_1	74	72	NA	71	NA	NA	NA
76	179588051	179587773	178723324	178723046	21683	21961	32	I_band	Ig_like	279	S_1	75	73	NA	72	NA	NA	NA
77	179587664	179587386	178722937	178722659	21962	22240	56	I_band	Ig_like	279	S_1	76	74	NA	73	NA	NA	NA
78	179587273	179586986	178722546	178722259	22241	22528	33	I_band	Ig_like	288	S_1	77	75	NA	74	NA	NA	NA
79	179586861	179586574	178722134	178721847	22529	22816	35	I_band	Ig_like	288	S_1	78	76	NA	75	NA	NA	NA
80	179585929	179585648	178721202	178720921	22817	23098	41	I_band	Ig_like	282	S_1	79	77	NA	76	NA	NA	NA
81	179585390	179585112	178720663	178720385	23099	23377	41	I_band	Ig_like	279	S_1	80	78	NA	77	NA	NA	NA
82	179584991	179584710	178720264	178719983	23378	23659	46	I_band	Ig_like	282	S_1	81	79	NA	78	NA	NA	NA
83	179584559	179584281	178719832	178719554	23660	23938	48	I_band	Ig_like	279	S_1	82	80	NA	79	NA	NA	NA
84	179584178	179583891	178719451	178719164	23939	24226	7	I_band	Ig_like	288	S_1	83	81	NA	80	NA	NA	NA
85	179583700	179583422	178718973	178718695	24227	24505	3	I_band	Ig_like	279	S_1	84	82	NA	81	NA	NA	NA
86	179583327	179583049	178718600	178718322	24506	24784	4	I_band	Ig_like	279	S_1	85	83	NA	82	NA	NA	NA
87	179582948	179582670	178718221	178717943	24785	25063	4	I_band	Ig_like	279	S_1	86	84	NA	83	NA	NA	NA
88	179582537	179582250	178717810	178717523	25064	25351	4	I_band	Ig_like	288	S_1	87	85	NA	84	NA	NA	NA
89	179582109	179581822	178717382	178717095	25352	25639	8	I_band	Ig_like	288	S_1	88	86	NA	85	NA	NA	NA
90	179580501	179580220	178715774	178715493	25640	25921	59	I_band	Ig_like	282	S_1	89	87	NA	86	NA	NA	NA
91	179579991	179579713	178715264	178714986	25922	26200	54	I_band	Ig_like	279	S_1	90	88	NA	87	NA	NA	NA
92	179579300	179579019	178714573	178714292	26201	26482	60	I_band	Ig_like	282	S_1	91	89	NA	88	NA	NA	NA
93	179578902	179578624	178714175	178713897	26483	26761	62	I_band	Ig_like	279	S_1	92	90	NA	89	NA	NA	NA
94	179578099	179577812	178713372	178713085	26762	27049	60	I_band	Ig_like	288	S_1	93	91	NA	90	NA	NA	NA
95	179577702	179577424	178712975	178712697	27050	27328	64	I_band	Ig_like	279	S_1	94	92	NA	91	NA	NA	NA
96	179577320	179577042	178712593	178712315	27329	27607	63	I_band	Ig_like	279	S_1	95	93	NA	92	NA	NA	NA
97	179576949	179576671	178712222	178711944	27608	27886	61	I_band	Ig_like	279	S_1	96	94	NA	93	NA	NA	NA
98	179576076	179575789	178711349	178711062	27887	28174	66	I_band	Ig_like	288	S_1	97	95	NA	94	NA	NA	NA
99	179575649	179575362	178710922	178710635	28175	28462	66	I_band	Ig_like	288	S_1	98	96	NA	95	NA	NA	NA
100	179574583	179574293	178709856	178709566	28463	28753	69	I_band	Ig_like	291	S_1	99	97	NA	96	NA	NA	NA
101	179572540	179572253	178707813	178707526	28754	29041	72	I_band	Ig_like	288	S_1	100	98	NA	97	NA	NA	NA
102	179571681	179571589	178706954	178706862	29042	29134	72	I_band	Ig_like	93	S_1	101	99	NA	98	NA	NA	NA
103	179571466	179571181	178706739	178706454	29135	29420	75	I_band	Ig_like	286	A_2	102	100	NA	99	NA	NA	NA
104	179570084	179569901	178705357	178705174	29421	29604	76	I_band		184	A_0	103	101	NA	100	NA	NA	NA
105	179569693	179569604	178704966	178704877	29605	29694	75	I_band		90	S_0	104	102	NA	101	NA	NA	NA
106	179569504	179569237	178704777	178704510	29695	29962	70	I_band		268	A_1	105	103	NA	102	NA	NA	NA
107	179569134	179568874	178704407	178704147	29963	30223	73	I_band	Ig_like	261	S_1	106	104	NA	103	NA	NA	NA
108	179567390	179567181	178702663	178702454	30224	30433	74	I_band	Ig_like	210	S_1	107	105	NA	104	NA	NA	NA
109	179566972	179566895	178702245	178702168	30434	30511	74	I_band	Ig_like	78	S_1	108	106	NA	105	NA	NA	NA
110	179566793	179566767	178702066	178702040	30512	30538	74	I_band		27	S_1	109	107	NA	106	NA	NA	NA
111	179566314	179566255	178701587	178701528	30539	30598	80	I_band		60	S_1	110	108	NA	107	NA	NA	NA
112	179565930	179565847	178701203	178701120	30599	30682	82	I_band		84	S_1	111	109	NA	108	NA	NA	NA
113	179563641	179563570	178698914	178698843	30683	30754	80	I_band		72	S_1	112	110	NA	109	NA	NA	NA
114	179561895	179561848	178697168	178697121	30755	30802	75	I_band		48	S_1	113	111	NA	110	NA	NA	NA
115	179560996	179560592	178696269	178695865	30803	31207	74	I_band		405	S_1	114	112	NA	111	NA	NA	NA
116	179560137	179560075	178695410	178695348	31208	31270	75	I_band		63	S_1	115	113	NA	112	NA	NA	NA
117	179559633	179559556	178694906	178694829	31271	31348	63	I_band		78	S_1	116	114	NA	113	NA	NA	NA
118	179559403	179559326	178694676	178694599	31349	31426	59	I_band		78	S_1	117	115	NA	114	NA	NA	NA
119	179558735	179558649	178694008	178693922	31427	31513	57	I_band		87	S_1	118	116	NA	115	NA	NA	NA
120	179558416	179558336	178693689	178693609	31514	31594	56	I_band		81	S_1	119	117	NA	116	NA	NA	NA
121	179557307	179557224	178692580	178692497	31595	31678	58	I_band	PEVK	84	S_1	120	118	NA	117	NA	NA	NA
122	179556826	179556743	178692099	178692016	31679	31762	54	I_band	PEVK	84	S_1	121	119	NA	118	NA	NA	NA
123	179554623	179554540	178689896	178689813	31763	31846	78	I_band	PEVK	84	S_1	122	120	NA	119	NA	NA	NA
124	179554322	179554242	178689595	178689515	31847	31927	22	I_band	PEVK	81	S_1	123	121	NA	120	NA	NA	NA
125	179554100	179554017	178689373	178689290	31928	32011	25	I_band	PEVK	84	S_1	124	122	NA	121	NA	NA	NA
126	179553863	179553780	178689136	178689053	32012	32095	15	I_band	PEVK	84	S_1	125	123	NA	122	NA	NA	NA
127	179553505	179553404	178688778	178688677	32096	32197	15	I_band		102	S_1	126	124	NA	123	NA	NA	NA
128	179552951	179552838	178688224	178688111	32198	32311	28	I_band		114	S_1	127	125	NA	124	NA	NA	NA
129	179550325	179550245	178685598	178685518	32312	32392	28	I_band		81	S_1	128	126	NA	125	NA	NA	NA
130	179550057	179549980	178685330	178685253	32393	32470	9	I_band		78	S_1	129	127	NA	126	NA	NA	NA
131	179549716	179549633	178684989	178684906	32471	32554	10	I_band	PEVK	84	S_1	130	128	NA	127	NA	NA	NA
132	179549476	179549393	178684749	178684666	32555	32638	6	I_band	PEVK	84	S_1	131	129	NA	128	NA	NA	NA
133	179549140	179549057	178684413	178684330	32639	32722	10	I_band		84	S_1	132	130	NA	129	NA	NA	NA
134	179548809	179548726	178684082	178683999	32723	32806	12	I_band	PEVK	84	S_1	133	131	NA	130	NA	NA	NA
135	179548018	179547938	178683291	178683211	32807	32887	26	I_band		81	S_1	134	132	NA	131	NA	NA	NA
136	179547630	179547424	178682903	178682697	32888	33094	76	I_band		207	S_1	135	133	NA	132	NA	NA	NA
137	179546465	179546388	178681738	178681661	33095	33172	77	I_band		78	S_1	136	134	NA	133	NA	NA	NA
138	179546177	179546103	178681450	178681376	33173	33247	4	I_band		75	S_1	137	135	NA	134	NA	NA	NA
139	179545898	179545806	178681171	178681079	33248	33340	1	I_band		93	S_1	138	136	NA	135	NA	NA	NA
140	179545058	179544981	178680331	178680254	33341	33418	1	I_band		78	S_1	139	137	NA	136	NA	NA	NA
141	179544782	179544621	178680055	178679894	33419	33580	1	I_band		162	S_1	140	138	NA	137	NA	NA	NA
142	179544409	179544326	178679682	178679599	33581	33664	1	I_band	PEVK	84	S_1	141	139	NA	138	NA	NA	NA
143	179544143	179544066	178679416	178679339	33665	33742	2	I_band	PEVK	78	S_1	142	140	NA	139	NA	NA	NA
144	179543557	179543474	178678830	178678747	33743	33826	74	I_band	PEVK	84	S_1	143	141	NA	140	NA	NA	NA
145	179543224	179543141	178678497	178678414	33827	33910	69	I_band	PEVK	84	S_1	144	142	NA	141	NA	NA	NA
146	179542935	179542852	178678208	178678125	33911	33994	68	I_band	PEVK	84	S_1	145	143	NA	142	NA	NA	NA
147	179542644	179542348	178677917	178677621	33995	34291	2	I_band		297	S_1	146	144	NA	143	NA	NA	NA
148	179542014	179541928	178677287	178677201	34292	34378	2			87	S_1	147	NA	NA	NA	NA	NA	NA
149	179540722	179540648	178675995	178675921	34379	34453	3	I_band		75	S_1	148	145	NA	144	NA	NA	NA
150	179540481	179540398	178675754	178675671	34454	34537	1			84	S_1	149	NA	NA	NA	NA	NA	NA
151	179539840	179539766	178675113	178675039	34538	34612	20	I_band		75	S_1	150	146	NA	145	NA	NA	NA
152	179539136	179539041	178674409	178674314	34613	34708	54	I_band		96	S_1	151	147	NA	146	NA	NA	NA
153	179538437	179538360	178673710	178673633	34709	34786	48	I_band		78	S_1	152	148	NA	147	NA	NA	NA
154	179537430	179537362	178672703	178672635	34787	34855	10	I_band		69	S_1	153	149	NA	148	NA	NA	NA
155	179537208	179537134	178672481	178672407	34856	34930	3	I_band		75	S_1	154	150	NA	149	NA	NA	NA
156	179536994	179536698	178672267	178671971	34931	35227	2	I_band		297	S_1	155	151	NA	150	NA	NA	NA
157	179535897	179535817	178671170	178671090	35228	35308	5	I_band	PEVK	81	S_1	156	152	NA	151	NA	NA	NA
158	179535022	179534945	178670295	178670218	35309	35386	30	I_band	PEVK	78	S_1	157	153	NA	152	NA	NA	NA
159	179534402	179534319	178669675	178669592	35387	35470	1			84	S_1	158	NA	NA	NA	NA	NA	NA
160	179534174	179534100	178669447	178669373	35471	35545	1			75	S_1	159	NA	NA	NA	NA	NA	NA
161	179532448	179532365	178667721	178667638	35546	35629	3			84	S_1	160	NA	NA	NA	NA	NA	NA
162	179532252	179532169	178667525	178667442	35630	35713	2			84	S_1	161	NA	NA	NA	NA	NA	NA
163	179532046	179531963	178667319	178667236	35714	35797	1			84	S_1	162	NA	NA	NA	NA	NA	NA
164	179531628	179531551	178666901	178666824	35798	35875	0			78	S_1	163	NA	NA	NA	NA	NA	NA
165	179530518	179530435	178665791	178665708	35876	35959	3			84	S_1	164	NA	NA	NA	NA	NA	NA
166	179530187	179530104	178665460	178665377	35960	36043	3			84	S_1	165	NA	NA	NA	NA	NA	NA
167	179529653	179529579	178664926	178664852	36044	36118	2			75	S_1	166	NA	NA	NA	NA	NA	NA
168	179529464	179529381	178664737	178664654	36119	36202	3			84	S_1	167	NA	NA	NA	NA	NA	NA
169	179529264	179529187	178664537	178664460	36203	36280	2			78	S_1	168	NA	NA	NA	NA	NA	NA
170	179528825	179528742	178664098	178664015	36281	36364	2			84	S_1	169	NA	NA	NA	NA	NA	NA
171	179528629	179528546	178663902	178663819	36365	36448	1			84	S_1	170	NA	NA	NA	NA	NA	NA
172	179528437	179528354	178663710	178663627	36449	36532	1			84	S_1	171	NA	NA	NA	NA	NA	NA
173	179528243	179528160	178663516	178663433	36533	36616	7			84	S_1	172	NA	NA	NA	NA	NA	NA
174	179528076	179527993	178663349	178663266	36617	36700	3			84	S_1	173	NA	NA	NA	NA	NA	NA
175	179527782	179527693	178663055	178662966	36701	36790	51	I_band		90	S_1	174	154	NA	153	NA	NA	NA
176	179527539	179527456	178662812	178662729	36791	36874	1			84	S_1	175	NA	NA	NA	NA	NA	NA
177	179527343	179527260	178662616	178662533	36875	36958	6			84	S_1	176	NA	NA	NA	NA	NA	NA
178	179527145	179527065	178662418	178662338	36959	37039	2			81	S_1	177	NA	NA	NA	NA	NA	NA
179	179526949	179526869	178662222	178662142	37040	37120	1			81	S_1	178	NA	NA	NA	NA	NA	NA
180	179526755	179526675	178662028	178661948	37121	37201	5			81	S_1	179	NA	NA	NA	NA	NA	NA
181	179526569	179526486	178661842	178661759	37202	37285	2			84	S_1	180	NA	NA	NA	NA	NA	NA
182	179523982	179523899	178659255	178659172	37286	37369	8	I_band	PEVK	84	S_1	181	155	NA	154	NA	NA	NA
183	179523815	179523732	178659088	178659005	37370	37453	4	I_band	PEVK	84	S_1	182	156	NA	155	NA	NA	NA
184	179523521	179523432	178658794	178658705	37454	37543	22			90	S_1	183	NA	NA	NA	NA	NA	NA
185	179523278	179523195	178658551	178658468	37544	37627	1			84	S_1	184	NA	NA	NA	NA	NA	NA
186	179523082	179522999	178658355	178658272	37628	37711	7			84	S_1	185	NA	NA	NA	NA	NA	NA
187	179522884	179522804	178658157	178658077	37712	37792	5			81	S_1	186	NA	NA	NA	NA	NA	NA
188	179522688	179522608	178657961	178657881	37793	37873	3			81	S_1	187	NA	NA	NA	NA	NA	NA
189	179522494	179522414	178657767	178657687	37874	37954	7			81	S_1	188	NA	NA	NA	NA	NA	NA
190	179522308	179522225	178657581	178657498	37955	38038	3			84	S_1	189	NA	NA	NA	NA	NA	NA
191	179519722	179519639	178654995	178654912	38039	38122	4			84	S_1	190	NA	NA	NA	NA	NA	NA
192	179519555	179519472	178654828	178654745	38123	38206	2			84	S_1	191	NA	NA	NA	NA	NA	NA
193	179519261	179519172	178654534	178654445	38207	38296	13			90	S_1	192	NA	NA	NA	NA	NA	NA
194	179519018	179518935	178654291	178654208	38297	38380	0			84	S_1	193	NA	NA	NA	NA	NA	NA
195	179518822	179518739	178654095	178654012	38381	38464	5			84	S_1	194	NA	NA	NA	NA	NA	NA
196	179518624	179518544	178653897	178653817	38465	38545	3			81	S_1	195	NA	NA	NA	NA	NA	NA
197	179518428	179518348	178653701	178653621	38546	38626	2			81	S_1	196	NA	NA	NA	NA	NA	NA
198	179518234	179518154	178653507	178653427	38627	38707	7			81	S_1	197	NA	NA	NA	NA	NA	NA
199	179518048	179517965	178653321	178653238	38708	38791	3			84	S_1	198	NA	NA	NA	NA	NA	NA
200	179517851	179517768	178653124	178653041	38792	38875	2			84	S_1	199	NA	NA	NA	NA	NA	NA
201	179517658	179517575	178652931	178652848	38876	38959	0			84	S_1	200	NA	NA	NA	NA	NA	NA
202	179517463	179517380	178652736	178652653	38960	39043	0			84	S_1	201	NA	NA	NA	NA	NA	NA
203	179517268	179517185	178652541	178652458	39044	39127	3	I_band	PEVK	84	S_1	202	157	NA	156	NA	NA	NA
204	179517074	179516991	178652347	178652264	39128	39211	8	I_band	PEVK	84	S_1	203	158	NA	157	NA	NA	NA
205	179516906	179516823	178652179	178652096	39212	39295	6	I_band	PEVK	84	S_1	204	159	NA	158	NA	NA	NA
206	179516694	179516611	178651967	178651884	39296	39379	5	I_band		84	S_1	205	160	NA	159	NA	NA	NA
207	179516476	179516393	178651749	178651666	39380	39463	8	I_band		84	S_1	206	161	NA	160	NA	NA	NA
208	179516263	179516180	178651536	178651453	39464	39547	9	I_band	PEVK	84	S_1	207	162	NA	161	NA	NA	NA
209	179516047	179515970	178651320	178651243	39548	39625	10	I_band		78	S_1	208	163	NA	162	NA	NA	NA
210	179515561	179515478	178650834	178650751	39626	39709	7	I_band	PEVK	84	S_1	209	164	NA	163	NA	NA	NA
211	179514998	179514891	178650271	178650164	39710	39817	7	I_band	PEVK	108	S_1	210	165	NA	164	NA	NA	NA
212	179514621	179514544	178649894	178649817	39818	39895	8	I_band	PEVK	78	S_1	211	166	NA	165	NA	NA	NA
213	179514358	179514281	178649631	178649554	39896	39973	3			78	S_1	212	NA	NA	NA	NA	NA	NA
214	179514058	179513975	178649331	178649248	39974	40057	2			84	S_1	213	NA	NA	NA	NA	NA	NA
215	179512191	179512108	178647464	178647381	40058	40141	2			84	S_1	214	NA	NA	NA	NA	NA	NA
216	179511871	179511791	178647144	178647064	40142	40222	1			81	S_1	215	NA	NA	NA	NA	NA	NA
217	179511286	179511212	178646559	178646485	40223	40297	1			75	S_1	216	NA	NA	NA	NA	NA	NA
218	179510757	179510647	178646030	178645920	40298	40408	3	I_band		111	S_1	217	167	NA	166	NA	NA	NA
219	179509343	179509275	178644616	178644548	40409	40477	4	I_band	PEVK	69	S_1	218	168	NA	167	NA	NA	NA
220	179507044	179506964	178642317	178642237	40478	40558	100	I_band	PEVK	81	S_1	219	169	47	168	48	48	NA
221	179506042	179505968	178641315	178641241	40559	40633	100	I_band	PEVK	75	S_1	220	170	48	169	49	49	NA
222	179505357	179505268	178640630	178640541	40634	40723	100	I_band		90	S_1	221	171	49	170	50	50	NA
223	179504837	179504775	178640110	178640048	40724	40786	100	I_band	PEVK	63	S_1	222	172	50	171	51	51	NA
224	179504515	179504426	178639788	178639699	40787	40876	100	I_band	PEVK	90	S_1	223	173	51	172	52	52	NA
225	179502146	179502096	178637419	178637369	40877	40927	79	I_band	PEVK	51	S_1	224	174	52	173	53	53	NA
226	179501526	179501125	178636799	178636398	40928	41329	100	I_band	Ig_like	402	S_1	225	175	53	174	54	54	NA
227	179500968	179500690	178636241	178635963	41330	41608	100	I_band	Ig_like	279	S_1	226	176	54	175	55	55	NA
228	179500442	179500167	178635715	178635440	41609	41884	100	I_band	Ig_like	276	S_1	227	177	55	176	56	56	NA
229	179500031	179499892	178635304	178635165	41885	42024	100	I_band		140	A_0	228	178	56	177	57	57	NA
230	179499576	179499450	178634849	178634723	42025	42151	100	I_band		127	A_1	229	179	57	178	58	58	NA
231	179499356	179499093	178634629	178634366	42152	42415	100	I_band		264	S_1	230	180	58	179	59	59	NA
232	179498810	179498544	178634083	178633817	42416	42682	100	I_band	Ig_like	267	S_1	231	181	59	180	60	60	NA
233	179498403	179498140	178633676	178633413	42683	42946	100	I_band	Ig_like	264	S_1	232	182	60	181	61	61	NA
234	179498053	179497914	178633326	178633187	42947	43086	100	I_band		140	A_0	233	183	61	182	62	62	NA
235	179497771	179497645	178633044	178632918	43087	43213	100	I_band		127	A_1	234	184	62	183	63	63	NA
236	179497519	179497253	178632792	178632526	43214	43480	100	I_band	Ig_like	267	S_1	235	185	63	184	64	64	NA
237	179497140	179496874	178632413	178632147	43481	43747	100	I_band		267	S_1	236	186	64	185	65	65	NA
238	179496027	179495761	178631300	178631034	43748	44014	100	I_band	Ig_like	267	S_1	237	187	65	186	66	66	NA
239	179495670	179495531	178630943	178630804	44015	44154	100	I_band		140	A_0	238	188	66	187	67	67	NA
240	179495094	179494968	178630367	178630241	44155	44281	100	I_band		127	A_1	239	189	67	188	68	68	NA
241	179494170	179494028	178629443	178629301	44282	44424	100	I_band	Ig_like	143	A_0	240	190	68	189	69	69	NA
242	179490123	179490000	178625396	178625273	44425	44548	100	I_band	Ig_like	124	A_1	241	191	69	190	70	70	NA
243	179489458	179489192	178624731	178624465	44549	44815	59	I_band	Ig_like	267	S_1	242	192	70	191	71	71	NA
244	179487494	179487397	178622767	178622670	44816	44913	100	I_band	Ig_like	98	A_0	243	193	71	192	72	72	NA
245	179486735	179486567	178622008	178621840	44914	45082	100	I_band	Ig_like	169	A_1	244	194	72	193	73	73	NA
246	179486468	179486202	178621741	178621475	45083	45349	100	I_band	Ig_like	267	S_1	245	195	73	194	74	74	NA
247	179486095	179485829	178621368	178621102	45350	45616	100	I_band	Ig_like	267	S_1	246	196	74	195	75	75	NA
